Time (minutes),TWE_set,TEI,TWEI,TEO,TWEO,TCI,TWCI,TCO,TWCO,TSI,TSO,TBI,TBO,Cond Tons,Cooling Tons,Shared Cond Tons,Cond Energy Balance,Evap Tons,Shared Evap Tons,Building Tons,Evap Energy Balance,kW,COP,kW/Ton,FWC,FWE,TEA,TCA,TRE,PRE,TRC,PRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,P_lift,Amps,RLA%,Heat Balance,Heat Balance%,Tolerance%,Unit Status,Active Fault,TO_sump,TO_feed,PO_feed,PO_net,TWCD,TWED,VSS,VSL,VH,VM,VC,VE,VW,TWI,TWO,THI,THO,FWW,FWH,FWB
460,45,47.58,47.7,45.48,45.3,75.22,75.2,79.1,79.2,77.4,53.16,47.47,47.79,26.29,11.53,163.9,-149.1,18.96,18,2.863,1.905,34.24,1.947,1.806,162.3,216.4,3.5,1.8,41.8,36.9,81,88.4,4.7,45.8,4,151.3,70.3,52,39,38,8.487,9.183,11.2,20,5,118.5,113.3,130.5,92.5,4.2,2.3,20,0,100,10,42,56,27,58.6,71.55,48.91,48.44,21.38,68.72,144.4
462,45,47.54,47.5,45.43,45.3,75.17,75,79.1,79.2,77.4,53.12,47.43,47.75,26.63,11.56,164.5,-149.5,18.85,17.9,2.847,1.895,34.28,1.934,1.818,162.6,215.2,3.6,1.3,42,36.9,81,88.4,4.7,45.6,4,150.9,70.3,50.5,39,38,6.949,7.423,11.2,20,5,119.5,114,130,92,4.2,2.1,20,0,100,10,42,56,23,58.68,71.42,48.99,48.52,21.77,68.33,145
464,45,47.54,47.5,45.39,45.3,75.13,75,79.1,79.1,77.36,53.08,47.39,47.71,26.82,11.8,164,-149,19.31,17.99,2.861,1.535,34.26,1.982,1.774,162.1,216.2,3.3,2.2,42,37.1,80.7,88.9,4.7,45.6,3.6,150.9,70.6,51.8,39,38,7.875,8.352,11.2,20,5,119.9,114.2,130,91.8,3.9,2.2,20,0,100,10,42,56,23,58.72,71.26,48.99,48.48,22.58,68.67,144.3
466,45,47.5,47.5,45.35,45.3,75.22,75.2,79.18,53.6,77.44,53.08,47.35,47.71,26.74,11.77,164.1,-149.1,19.27,17.94,3.222,1.9,34.32,1.974,1.781,161.7,215.7,3.3,1.5,42,37.1,80.7,87.9,4.7,45.6,3.8,151.3,70.6,25.7,39,38,8.029,8.538,11.2,20,5,120.2,114.9,129.5,91.1,4.2,2.2,20,0,100,10,42,56,27,58.72,71.46,48.99,48.52,22.16,77.33,144
468,45,47.46,47.5,45.31,45.3,75.22,75.2,79.1,79.2,77.44,53.08,47.35,47.67,26.3,11.26,164.8,-149.7,19.19,18.24,2.842,1.891,34.27,1.969,1.786,162.4,214.8,3.3,1.8,41.8,37.1,81,88.4,4.7,45.6,3.6,150.9,70.3,51.5,39,38,9.269,10.02,11.2,20,5,120.4,115.3,130,92.1,4,2.2,20,0,100,10,42,56,27,58.76,71.51,48.91,51.73,21.21,24.15,144.4
470,45,47.46,47.7,45.31,45.3,75.22,75.2,79.18,79.1,77.44,53.08,47.31,47.67,26.82,11.8,164.5,-149.5,19.18,17.87,3.207,1.89,34.31,1.966,1.789,162.1,214.7,3.5,1.9,41.8,36.9,80.7,88.4,4.7,45.6,3.8,151.3,71,51.5,39,38,7.476,7.929,11.2,20,5,120.9,115.7,130,91.8,3.9,2.4,20,0,100,10,42,56,27,58.76,71.42,48.91,48.44,22.36,76.98,144.5
472,45,47.46,47.5,45.35,45.3,75.22,75.2,79.14,53.6,77.44,53.08,47.31,47.63,26.56,11.53,164.7,-149.6,18.81,17.5,2.841,1.524,34.32,1.927,1.824,162.2,214.7,3.3,1.5,42,37.1,80.7,87.9,4.8,45.6,3.6,151.7,70.7,26.2,39,38,7.095,7.598,11.2,20,5,121.2,116.2,130.5,92.5,4,2.2,20,0,100,10,42,56,27,58.8,71.38,48.87,48.4,22,68.19,145
474,45,47.41,47.5,45.31,45.3,75.22,75.2,79.14,79.1,77.4,53.08,47.31,47.58,26.49,11.78,164,-149.3,18.99,18.03,2.497,1.538,34.26,1.948,1.805,161.8,216.7,3.3,2.1,41.8,37.1,80.7,87.9,4.7,45.6,3.6,151.7,70.6,51.3,39,38,7.878,8.458,11.2,20,5,122,116.4,129.5,91.6,3.9,2.2,20,0,100,10,42,56,27,58.84,71.51,48.83,48.4,22.32,59.93,144
476,45,47.41,47.3,45.27,45.3,75.17,75.2,79.14,79.1,77.44,53.04,47.27,47.58,26.73,11.49,164.3,-149.1,19.16,17.84,2.837,1.522,34.25,1.966,1.788,161.6,214.4,3.2,1.9,42.1,37.2,81,88.4,5,45.4,3.5,151.7,70.3,51.3,39,38,7.61,8.097,11.2,20,5,122.2,116.4,130,92.1,4.1,2,20,0,100,10,42,56,27,58.88,71.46,48.83,48.36,21.91,68.09,144.1
478,44,47.37,47.3,45.27,45.3,75.22,74.7,79.14,79.4,77.44,53.04,47.23,47.54,26.62,11.56,165.3,-150.2,18.9,17.58,2.856,1.532,37.72,1.762,1.996,162.6,215.7,3.3,1.9,41.8,36.9,81.3,88.9,5.3,45.6,4,151.7,70.4,52,40,39,10.6,11.33,11.04,20,5,122.5,116.7,130.5,93.3,4.8,2.2,14.14,0,100,22.07,42,56,20,58.92,71.55,48.87,48.36,21.97,68.53,145.3
480,44,48.64,49.5,45.43,45.6,73.13,72.2,78.78,78.4,77.48,57.05,48.62,48.94,38.07,8.739,137.7,-108.3,28.71,28.49,2.841,2.623,42.18,2.393,1.469,161.8,214.7,4.4,3.9,41,36.1,82.3,90.8,6.4,45.3,4.1,145.1,63.3,53.8,46,44,9.252,6.912,10.32,20,0,122.5,116.9,131,94.1,6.4,4.1,38.97,0,100,34.48,42,56,20,58.88,72.61,50.47,49.63,15.28,68.18,128.3
482,44,50.57,51.2,45.64,45.6,71.82,71.5,79.92,80.4,78.17,61.8,50.34,50.9,54.25,11.69,109.6,-67.04,44.18,42.13,5.05,2.996,48.74,3.187,1.103,160.6,215.2,5.3,4.5,40.3,35.3,84.9,95.3,9.7,44.8,4.5,130.4,45.5,59.2,55,53,13.35,7,9.199,20,0,122.5,117.1,131.5,95.2,9,5.4,63.79,0,100,46.9,42,56,20,58.92,73.22,54.4,52.37,19.62,59.88,98.88
484,44,53.88,55.5,46.66,47,69.32,68.1,80.5,80.4,77.93,67.37,53.12,54.34,76.68,17.6,72.45,-13.38,64.98,58.13,10.96,4.112,58.16,3.928,0.8951,164.7,216,6.6,6.2,40.6,35.6,86.6,98.3,11.7,44.8,4.4,119.9,33.3,62.7,68,65,17.02,6.315,7.914,20,0,121.7,116.7,132.5,96.6,12.3,8.5,60,100,100,100,45,56,50,58.96,69.25,65.9,58.47,41.06,35.42,32.55
486,44,56.26,56.9,47.4,47.2,69.28,69.7,82.75,83.7,78.91,69.17,54.64,56.43,92.38,26.3,66.81,-0.7357,79.77,65.17,16.13,1.534,66.6,4.211,0.8349,164.6,216.1,7.3,6.5,40.1,35,90.2,104.7,14,44.6,4.6,114.9,24.7,69.9,78,75,22.27,6.855,6.952,20,0,120.7,116.2,133.5,97.4,14,9.6,60,100,100,100,45,56,50,58.88,68.64,69.71,62.77,64.7,55.81,4.038
488,44,56.91,57.1,47.28,47,70.55,70.6,85.37,85.6,80.75,70.48,55.17,56.96,101.4,31.57,70.3,-0.4546,86.68,70.99,16.11,0.4279,72,4.233,0.8306,164.2,215.9,7.2,6.9,39.8,34.8,92.2,109.2,13.6,44.1,4.3,115.1,23.1,74.4,85,81,20.2,5.664,6.406,20,0,119.7,115.7,133,97.5,15,10.1,60,100,100,100,45,56,62,58.88,67.66,69.34,63.1,86.35,61.97,-1.618
490,44,56.3,56.3,46.33,45.8,70.79,70.6,86.43,86.5,81.37,70.6,54.72,56.35,105.9,34.3,72.92,-1.281,89.48,75.29,14.62,0.4272,75.12,4.188,0.8396,162.6,215.5,6.7,6.7,39.2,34.3,93.2,110.7,13.8,43.2,3.8,115.3,22.4,76.2,88,84,17.24,4.628,6.14,20,0,118.8,115.3,134.5,100,16.1,10.4,70,100,100,100,45,56,62,58.88,66.92,68.15,62.28,102.4,59.73,-5.275
492,44,55.73,55.6,45.56,45.3,70.75,70.6,86.72,86.5,81.61,70.6,54.15,55.81,109.5,35.01,75.51,-1.016,91.37,77.17,14.99,0.7955,75.85,4.236,0.8301,164.6,215.6,6.2,6.5,39.1,34.2,93,110.2,13.5,42.7,3.8,115.6,22.6,76.4,89,85,12.1,3.143,6.052,20,0,118.1,114.7,133.5,99,16.1,10.3,70,100,100,100,45,56,62,58.84,66.92,67.87,61.79,104,59.21,-3.621
494,44,55.44,55.6,45.23,44.9,70.71,70.4,86.76,86.5,81.61,70.48,53.86,55.57,109.9,35.25,76.28,-1.577,92.27,77.99,15.45,1.17,75.81,4.28,0.8216,164.4,216.9,6,6.7,38.9,34,93.2,110.7,13.6,42.4,3.5,115.3,21.9,76.9,89,85,13.65,3.53,6.052,20,0,117.4,113.8,134,99.3,16.1,10.7,80,100,100,100,45,56,57,58.76,67,68.2,61.75,102.6,57.53,-3.694
496,44,55.52,55.8,45.27,45.1,70.71,70.6,86.76,86.6,81.74,70.56,53.86,55.73,110.1,34.46,76.66,-1.018,92.35,77.38,16.88,1.905,76.07,4.269,0.8237,164.6,216.2,6.5,6.6,38.9,34,93.2,110.7,14.1,42.4,3.8,115.3,22.1,77.2,89,85,13.69,3.538,6.052,20,0,116.4,113.6,134,99.5,16,10.7,70,100,100,100,45,56,62,58.8,67.29,68.93,62.2,97.43,60.17,-1.554
498,44,55.73,56,45.52,45.4,70.75,70.8,86.84,86.6,81.7,70.6,53.98,55.94,110.3,35.29,76.07,-1.016,91.7,76.03,17.56,1.898,76.35,4.223,0.8327,164.6,215.5,6.4,6.6,38.9,34,93.2,110.7,13.8,42.5,3.6,115.3,22.4,76.7,90,86,10.79,2.782,5.964,20,0,116.4,113.1,133,98.7,15.8,10.7,70,100,100,100,45,56,62,58.8,67.04,69.51,62.57,102.8,60.75,0.08276
500,44,55.89,56,45.6,45.4,70.75,70.4,86.92,86.5,81.66,70.6,54.06,55.98,110.6,36.02,75.56,-1.013,92.54,76.12,17.21,0.796,76.71,4.242,0.8289,164.1,215.8,6.8,7,38.6,33.8,93.2,111.2,13.8,42.5,3.6,115.7,22.1,77.2,90,86,13.34,3.432,5.964,20,0,115.7,112.4,134,99.5,15.9,10.6,70,100,100,100,45,56,57,58.76,66.8,69.75,62.69,107.6,58.52,-1.227
502,44,56.01,56.1,45.64,45.4,70.92,70.6,87.13,86.8,81.82,70.73,54.19,56.1,110.6,36.23,75.7,-1.291,92.82,76.48,17.13,0.7916,77.17,4.229,0.8314,163.8,214.7,6.7,6.9,38.9,34,93.7,111.7,14,42.5,3.6,115.7,22.1,77.7,90,86,14.53,3.734,5.964,20,0,115.7,112.2,134,99.3,16,10.5,70,100,100,100,45,56,62,58.8,66.88,69.96,62.9,107.6,58.23,-1.7
504,44,56.01,56.1,45.6,45.4,70.87,70.6,87.21,87,81.78,70.64,54.15,56.06,111.6,37.12,76.07,-1.573,93.2,76.49,17.13,0.4252,77.47,4.23,0.8313,164,214.8,6.8,6.7,38.6,33.8,93.7,111.7,13.6,42.4,3.8,115.6,22.3,77.4,91,87,12.72,3.241,5.877,20,0,115.1,111.8,134,99.8,16.2,10.8,70,100,100,100,45,56,62,58.84,66.71,69.92,62.9,113.1,58.58,-0.9069
506,44,55.93,56,45.52,45.3,70.87,70.8,87.33,87,81.78,70.69,54.02,56.02,112.5,37.96,75.81,-1.293,93.51,76.38,17.92,0.7949,77.89,4.221,0.833,164,215.5,6.4,7,38.9,34,94,112.2,13.6,42.4,3.5,115.7,21.7,77.9,92,88,11.2,2.831,5.791,20,0,115.1,111.3,133.5,99,16.2,10.6,70,100,100,100,45,56,62,58.8,66.71,69.83,62.86,115.1,61.64,-1.237
508,44,55.85,56,45.43,45.3,70.92,71.4,87.25,86.8,81.82,70.64,54.02,55.98,113.2,37.65,77.46,-1.879,94.05,77.56,17.66,1.169,73.71,4.486,0.7838,166.4,216.7,5.9,6.7,39.5,34.6,93.5,111.2,13.3,42.4,3,115.7,22.2,76.7,85,81,6.268,1.575,6.406,20,0,114.9,110.9,129.5,94,15.3,10.7,0.2793,0,100,65,44,56,63,58.76,66.67,69.42,62.69,114.2,62.94,-0.2238
510,44,54.99,54.7,47.4,47.2,70.47,69.5,82.79,81.2,78.63,68.02,54.39,54.95,84.88,28.67,73.02,-16.82,68.28,62.9,5.067,-0.3094,56.23,4.269,0.8235,165.3,215.9,7.2,5.3,39.8,34.8,86,97.3,9.6,44.6,5,116.4,30,63,65,62,-2.146,-0.719,8.219,20,0,114.5,110.9,132,96.7,11.7,7.7,0,0,100,65,44,56,63,58.8,65.4,56.24,56.39,104.2,121.6,22.91
512,44,53.15,52.5,45.72,44.9,68.5,67.8,80.58,79.5,76.46,66.14,52.88,53.15,83.46,28.49,71.28,-16.31,66.89,64.46,2.492,0.05965,55.71,4.222,0.8327,165.9,216.2,5.7,5.4,39.2,34.3,84.9,95.3,10.5,43.2,4,114,29.1,61,64,61,-2.557,-0.8715,8.323,20,0,114.5,110.5,131.5,96.2,11.7,7.6,13.63,0,100,65,44,56,63,58.8,64.71,53.66,53.77,115.7,59.81,15.87
514,44,51.26,50.8,43.84,43.4,67.07,66.4,78.94,77.8,75.31,64.75,51.03,51.23,82.59,25.26,73.46,-16.13,66.73,64.67,1.749,-0.3091,52.01,4.511,0.7795,167,215.7,4.2,4.5,39.2,34.3,82.3,90.8,9.5,42.2,3,111.8,29.3,56.5,59,57,-3.757,-1.294,8.75,20,0,113.8,110.1,131,95.7,11.3,7.4,25.31,0,100,65,44,56,63,58.8,64.3,52.64,52.17,110.2,41.98,19.98
516,44,50.77,50.9,44.29,44.1,65.63,65.3,76.07,75.2,73.3,63.44,50.62,51.02,72.37,19.21,68.38,-15.22,58.22,56.9,3.587,2.265,49.14,4.166,0.844,166.4,215.5,5,4.9,39.1,34.2,80.1,86.9,9.7,42.5,3.6,111.3,31.2,52.7,56,54,-0.596,-0.2342,9.084,20,0,113.3,110.1,130.5,95.5,10.1,6.8,26.98,0,100,65,44,56,52,58.8,64.71,52.39,51.84,78.02,86.09,27.93
518,44,50.61,50.4,44,43.8,65.43,65.3,75.87,75.2,73.26,63.36,50.38,50.78,72.72,18.16,69,-14.44,58.74,56.71,3.551,1.515,48.02,4.301,0.8175,167.2,213.4,4.4,4.6,39.4,34.5,79.8,86.4,9.7,42.5,3.1,110.5,30.7,51.8,54,52,-1.109,-0.4336,9.315,20,0,112.9,109.4,129,93.7,9.9,6.5,28.66,0,100,65,44,56,52,58.84,65.32,52.19,51.64,67.24,85.22,29.78
520,44,50.65,50.8,44.33,44.3,65.27,65.1,75.13,74.7,72.85,63.23,50.5,50.9,69.1,15.96,67.36,-14.23,56.69,55.37,3.583,2.262,48.27,4.13,0.8514,168.1,215.3,5.7,5.1,38.6,33.8,79.8,86.4,9.8,42.5,3.9,111.1,31.1,52.6,55,53,4.644,1.911,9.199,20,0,112.7,109.2,128.5,93.8,9.7,6.5,30.34,0,100,65,44,56,48,58.84,65.73,52.43,51.72,55.6,85.99,29.92
522,44,50.77,50.8,44.37,44.1,65.35,65.1,75.3,74.9,72.93,63.27,50.58,51.02,69.43,16.48,67.42,-14.47,57.46,55.77,3.953,2.264,48.46,4.169,0.8434,167.5,215.4,5.7,5.2,38.9,33.8,79.8,86.4,10.1,42.5,3.9,110.9,30.9,52.9,55,53,6.369,2.609,9.199,20,0,112.4,109.2,128.5,93.4,9.8,6.5,32.01,0,100,65,44,56,48,58.88,65.49,52.72,51.92,59.89,94.87,28.94
524,44,50.81,50.9,44.37,44.4,65.39,65.3,75.3,75,73.06,63.4,50.62,51.02,68.92,15.57,67.2,-13.85,57.95,56.26,3.593,1.901,48.46,4.204,0.8362,167,215.9,5.4,5.1,38.9,34,80.1,86.9,10.4,42.7,3.8,110.9,30.8,52.9,55,53,9.885,4.079,9.199,20,0,112,109,130.5,95.8,9.9,6.6,33.69,0,100,65,44,56,52,58.92,65.81,52.8,52,54.24,86.23,27.19
526,44,50.85,50.9,44.41,44.3,65.39,65.3,75.34,75,73.02,63.36,50.62,51.02,68.11,15.89,66.13,-13.91,57.46,55.42,3.563,1.52,48.5,4.165,0.8441,164.3,214,5.4,4.8,38.9,34,79.8,86.4,10,42.7,3.8,110.7,30.9,52.6,55,53,11.07,4.621,9.199,20,0,112,108.8,128,93.3,9.9,6.6,35.36,0,100,65,44,56,52,58.96,65.65,52.84,52.05,57.02,85.51,26.62
528,44,50.89,51.1,44.41,44.3,65.39,65.3,75.34,75,73.02,63.4,50.67,51.06,69.03,16.1,66.74,-13.81,57.93,55.88,3.568,1.522,48.5,4.199,0.8373,166.5,214.4,5.4,4.8,38.9,34,79.8,86.4,10.1,42.5,3.9,110.9,31.1,53.1,55,53,9.484,3.908,9.199,20,0,111.8,108.8,130,93.7,9.7,6.5,37.04,0,100,65,44,56,52,59,65.61,52.88,52.05,58.51,85.64,27.09
530,44,50.89,50.9,44.41,44.3,65.39,65.3,75.3,75,73.06,63.36,50.67,51.06,68.68,15.52,67.25,-14.09,58.17,56.11,3.583,1.528,48.52,4.215,0.8341,166.4,215.3,5.5,5.1,38.9,34,80.1,86.9,10.3,42.5,3.6,110.9,30.8,52.4,55,53,11.56,4.785,9.199,20,0,111.6,108.6,129,93.7,9.9,6.5,38.72,0,100,65,44,56,52,59,65.65,52.92,52.13,56.05,86,27.55
532,44,50.94,50.9,44.45,44.4,65.39,65.1,75.3,75.2,72.97,63.36,50.67,51.06,69.1,16.18,67.08,-14.17,58.23,55.81,3.587,1.162,48.53,4.219,0.8333,167.4,215.5,5.4,4.6,38.6,33.8,79.8,86.4,9.7,42.7,3.8,110.9,30.9,52.4,55,53,10.34,4.255,9.199,20,0,111.8,108.6,127,92.3,10.1,6.6,40.39,0,100,65,44,56,48,59.05,65.53,53.01,52.17,59.93,86.1,28.13
534,44,50.98,51.1,44.45,44.4,65.43,65.3,75.34,75.2,73.06,63.4,50.75,51.15,68.83,15.83,67.11,-14.11,58.12,56.08,3.559,1.518,48.61,4.204,0.8362,166.7,213.8,5.5,4.9,38.9,34,79.8,86.9,9.8,42.7,3.8,110.9,31.3,52.9,55,53,10.98,4.538,9.199,20,0,111.6,108.6,129,93.7,9.9,6.7,42.07,0,100,65,44,56,52,59.05,65.61,53.17,52.25,57.91,85.41,27.39
536,44,50.98,51.1,44.45,44.4,65.39,65.3,75.34,75,73.02,63.4,50.79,51.15,69.1,16.12,66.81,-13.83,58.59,56.9,3.219,1.53,48.66,4.234,0.8305,166.7,215.5,5.8,4.6,38.6,33.8,79.8,86.4,10.3,42.7,3.8,111.1,31,52.4,55,53,11.73,4.827,9.199,20,0,111.3,108.4,129.5,94.5,9.9,6.7,43.74,0,100,65,44,56,52,59.09,65.57,53.33,52.37,59.68,77.27,24.72
538,45,51.02,51.1,44.49,44.4,65.43,66.2,75.42,75.4,73.1,63.36,50.75,51.15,67.48,15.67,65.8,-14,58.26,55.85,3.567,1.156,46.14,4.439,0.792,162.1,214.3,4.8,4.4,39.5,34.6,79.8,86.4,10,42.9,3.1,110.7,30.9,51.3,52,50,13.73,5.786,9.553,20,0,111.6,108.6,130.5,94.9,9.2,6.8,0,0,100,48.62,42,56,63,59.09,65.65,53.13,52.37,57.32,85.61,24.53
540,45,49.79,49.5,44.7,44.6,66.13,66.2,74.44,73.8,71.83,60.16,49.64,49.84,56.45,17.71,79.24,-40.5,45.79,44.47,1.751,0.4273,41.96,3.837,0.9163,163,215.8,4.6,3.5,39.8,34.8,77.3,82.4,7.8,43.4,3.6,114.2,36.9,47.6,48,46,4.483,2.259,10.06,20,0,111.3,108.4,127,92.1,7.9,4.9,0,0,100,40.34,42,56,63,59.09,63.44,50.34,50.37,97.65,42.02,71.54
542,45,49.05,48.8,44.98,44.8,65.84,65.6,72.55,71.8,70.31,57.95,48.95,49.18,45.91,15.31,84.53,-53.93,36.59,35.64,2.12,1.165,38.3,3.359,1.047,164.1,215.9,5.4,3.2,39.4,34.5,75,78.9,6.7,44.1,4.7,118.3,43.3,44.4,44,42,5.548,3.437,10.6,20,0,111.6,108.2,127,91.2,6.2,4,0,0,100,32.07,42,56,57,59.09,63.36,49.52,49.55,86.03,50.89,94.94
544,45,47.78,47.5,44.78,44.8,66.62,66.2,71.81,70.8,69.78,54.84,47.64,47.95,35.24,13.79,101.3,-79.85,26.9,25.58,2.844,1.526,32.72,2.891,1.216,162.7,214.9,4.6,1.7,40.3,35.3,72.5,75,4.4,44.4,4.1,123,50.7,39.7,38,37,3.388,2.734,11.36,20,0,111.6,108.4,126.1,89.8,4.4,2.6,35,0,100,23,42,56,63,59.05,62.7,49.61,48.85,90.51,68.25,121.6
546,45,47.86,47.8,45.15,45.1,65.8,65.4,70.42,70.1,68.55,53.86,47.64,48.08,31.6,12.77,100.4,-81.58,24.22,22.18,3.925,1.884,33.16,2.568,1.369,164,213.9,4.7,2.7,40.4,35.4,72.5,75.5,4.6,44.8,4.4,129.8,57.6,40.1,38,37,7.21,6.49,11.36,20,0,112.2,108.4,125.6,89.3,4.7,2.7,35,0,100,23,42,56,52,59.05,62.78,50.02,49.22,82.02,94.2,127.7
548,45,47.78,47.8,45.07,44.9,65.8,65.6,70.5,70.3,68.55,53.73,47.51,47.95,31.98,13.26,100.7,-81.97,24.4,21.98,3.955,1.53,33.35,2.573,1.367,163.1,215.5,4.1,2.5,40.8,35.8,72.8,75.5,5.5,44.8,4,131.5,58.9,40.2,38,37,6.703,5.961,11.36,20,0,112.7,108.8,124.6,87.4,4.7,2.9,35,0,100,23,42,56,57,59.05,62.78,49.98,49.14,85.15,94.92,127.5
550,45,47.58,47.7,44.82,44.8,65.76,65.8,70.5,70.1,68.59,53.65,47.31,47.79,32.29,13,101.6,-82.32,24.69,22.27,4.309,1.892,33.41,2.598,1.353,163.2,214.8,4,2.7,40.8,35.9,72.8,75.5,5.3,44.6,3.8,131.5,58.7,39.6,38,37,6.679,5.883,11.36,20,0,113.1,109.2,125.1,88,4.5,2.9,35,0,100,23,42,56,57,59.05,62.87,49.77,48.93,81.65,103.4,127.5
552,45,47.54,47.7,44.98,45.1,65.63,65.3,70.05,69.5,68.35,53.57,47.35,47.79,30.19,11.65,100.9,-82.39,22.92,21.24,3.954,2.265,31.96,2.522,1.394,163.9,215.5,4.7,2.4,40.6,35.6,71.9,74,4.6,44.9,4.1,132.6,60.7,37.9,37,36,6.415,6.043,11.53,20,0,113.8,109.6,126.1,89.4,4.2,2.4,35,0,100,23,42,56,52,59.05,62.95,49.77,48.93,71.68,94.89,129.4
554,45,47.82,48,45.23,45.1,65.55,65.4,70.05,69.8,68.31,53.73,47.64,48.12,30.64,11.89,99.18,-80.43,23.17,21.49,4.299,2.618,32.71,2.491,1.412,163.3,214.4,4.7,1.8,40.6,35.6,71.6,73.5,4.7,45.1,4.3,134.1,62.2,38.9,38,37,6.463,5.999,11.36,20,0,114.5,109.6,124.6,87.7,4.5,2.9,35,0,100,23,42,56,52,59.05,63.07,50.06,49.22,70.91,103.2,127.9
556,45,47.91,48,45.23,45.3,65.63,65.4,70.18,70,68.35,53.78,47.64,48.12,31.16,12.54,99.96,-81.34,23.87,21.46,4.293,1.885,32.8,2.559,1.374,164.6,214.1,4.5,2.5,40.6,35.6,72.5,75,4.4,45.1,4.5,133.8,61.6,39.4,38,37,7.172,6.546,11.36,20,0,114.7,110.1,125.6,89,4.6,2.9,35,0,100,23,42,56,52,59.05,62.87,50.1,49.3,78.82,103,129.3
558,45,47.91,48,45.19,45.3,65.72,65.4,70.26,70,68.47,53.78,47.64,48.08,31.14,12.26,100.7,-81.85,24.5,22.06,3.97,1.536,32.86,2.621,1.342,164.5,216.4,4.7,2.4,40.6,35.6,72.5,75,5.3,45.1,4.5,133.5,61,39.4,38,37,9.501,8.678,11.36,20,0,115.1,110.5,126.1,89.7,4.4,2.7,35,0,100,23,42,56,52,59.05,62.95,50.1,49.22,75.39,95.28,128.5
560,45,47.86,47.8,45.19,45.1,65.67,65.4,70.26,70,68.43,53.78,47.59,48.08,31.3,12.49,100.1,-81.24,23.96,21.54,4.31,1.893,32.82,2.567,1.37,163.9,214.9,4.5,2.8,40.6,35.6,72.8,75.5,5.3,45.3,4.5,133.8,61.3,38.7,38,37,7.03,6.389,11.36,20,0,115.3,110.7,124.6,87.9,4.6,2.7,35,0,100,23,42,56,52,59.05,62.87,50.1,49.26,78.45,103.5,128.6
562,45,47.82,47.8,45.15,45.1,65.76,65.4,70.3,70.3,68.47,53.78,47.59,48.04,31.05,12.5,100.4,-81.89,24.14,22.07,3.972,1.905,32.95,2.576,1.365,164,216.5,4.1,2.5,41,36.1,72.8,75.5,5,45.3,4.3,133.5,61.6,39.4,38,37,8.647,7.92,11.36,20,0,115.7,111.1,126.1,88.7,4.9,2.7,35,0,100,23,42,56,52,59.09,62.91,50.02,49.18,78.54,95.33,128
564,45,47.78,47.8,45.11,44.9,65.72,65.6,70.34,70,68.47,53.73,47.51,47.95,31.51,12.74,100.4,-81.63,24.14,21.71,3.973,1.537,32.96,2.575,1.365,163.5,216.5,4.1,2.5,41,36.1,72.5,75,4.9,45.1,4.1,133.5,61,38.4,38,37,7.059,6.372,11.36,20,0,116,111.3,125.6,87.4,4.4,2.9,35,0,100,23,42,56,57,59.13,62.87,49.93,49.1,81.79,95.35,128.2
566,45,47.7,47.7,45.07,44.9,65.72,65.4,70.34,70.1,68.51,53.69,47.47,47.91,31.63,12.51,101.3,-82.23,23.64,21.58,3.95,1.896,33.04,2.515,1.398,164.1,215.3,3.7,2.7,41.2,36.3,72.8,75.5,5.2,44.9,3.9,133.5,60.4,39.4,38,37,4.935,4.437,11.36,20,0,116.2,111.6,126.1,89,4.5,2.8,35,0,100,23,42,56,52,59.13,62.91,49.89,49.06,79.45,94.8,129.2
568,39,47.7,47.7,45.02,44.9,65.67,64.7,70.3,70.1,68.47,53.65,47.43,47.83,31.59,12.49,101.2,-82.11,24.09,21.66,3.596,1.165,36.24,2.337,1.504,163.9,216,5.3,4,39.8,34.6,73.8,77,6.3,44.9,5.6,133.2,59.4,43,44,42,9.87,8.888,10.6,20,0,116.4,111.8,125.6,90.1,5.7,2.9,60,98.98,100,49.66,42,56,20,59.17,62.91,50.34,48.97,80.2,63.04,128.8
570,39,49.99,50.4,43.59,42.9,65.72,67.3,75.21,78.3,72.73,59.71,48.7,50.29,63.66,16.65,87.24,-40.24,57.26,45.69,14.19,2.623,54.8,3.674,0.957,160.9,214.7,3.7,6.2,39.2,34.3,84.3,94.3,14.5,42.5,3.3,119,34.7,60,64,61,32.33,14.44,8.323,20,0,116.4,111.8,130.5,95.8,10.9,7.5,60,92.88,100,47.63,42,56,20,59.17,68.11,64.22,56.67,44.71,45.11,76.61
572,39,51.1,51.6,43.06,42.9,71.37,73.1,82.87,85.4,80.43,63.93,49.31,51.27,77.57,16.47,111.2,-50.15,72.2,56.17,17.56,1.53,63.58,3.993,0.8806,161.8,215.5,3.5,6.1,39.4,34.5,91.5,107.2,15,41.9,2.5,114.2,22.5,72.9,74,71,44.7,16.39,7.328,20,0,116.4,112,132.5,97.7,11.9,8.7,60,86.78,100,45.59,42,56,20,59.21,74.37,65,58.15,26.08,61.47,80.12
574,39,52.45,53.2,44.12,44.4,76.32,77.8,88.52,90.5,86.12,67.04,50.83,52.74,82.32,16.21,128.7,-62.61,75.09,60.47,17.26,2.644,68.48,3.855,0.912,161.9,216.4,4.6,5.5,39.8,34.8,96,116.1,14.3,42.5,3,117.6,21.4,81.8,79,76,43.04,14.87,6.86,20,0,116,112,135,99.5,12.6,8.8,60,80.68,100,43.56,42,56,20,59.25,79.12,65.9,59.13,19.58,61.17,85.87
